[INFO] 2018-03-27 08:31:51,951 ExtentManager setUp - Running Mobile banking API Automation testing on mPAY 4.0

[INFO] 2018-03-27 08:31:52,097 ExtentManager sendReqAppLogin - ******************************START******************************
[INFO] 2018-03-27 08:31:52,098 ExtentManager sendReqAppLogin - Request : App Login
[INFO] 2018-03-27 08:31:52,747 ExtentManager sendReqAppLogin - Hmaced Request : 3c8ce5a8c06490efda8dda2b78706adbd860b30b5f472e9ed3b258a7bb4f3306*!9894060407APGC;BVD:4.0.9%23ANDROID7.1.1%23H1920W1080%23LENOVO+Lenovo+K8+Plus%2310.175.117.48%2312.8354858%2C80.2235916%3B463795;123457;4.0;0;22480243523500101872164654947981128869
[INFO] 2018-03-27 08:31:53,761 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 08:31:53,761 ExtentManager sendReq - Request : Balance Enquiry
[INFO] 2018-03-27 08:31:53,762 ExtentManager sendReq - Hmaced Request : e870c4968ffbd775c6cf6f59bfe9e109ef76014858a0194917084dcdef9d04df*!9894060407APBE;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;77333626437666148951660120536819190655
[INFO] 2018-03-27 08:31:54,767 ExtentManager sendReq - ******************************START******************************
[INFO] 2018-03-27 08:31:54,767 ExtentManager sendReq - Request : Mini statement
[INFO] 2018-03-27 08:31:54,768 ExtentManager sendReq - Hmaced Request : b3b1f4a0b035a61c4a967f329bbcf1121760c51b7c40505eec872a63da02c149*!9894060407APMS;Y;15316170605690416310253121025515855714;463795;123457;4.0;2478623864983269;148951955640497460197932878504178429034
